tarefa,modelo,sentenca_id,posicao,token,tag_gold,tag_predita
ner,crf,c2003-20,8,2002,O,B-MISC
ner,crf,c2003-20,16,FIFA,B-ORG,B-LOC
ner,crf,c2003-21,1,UAE,B-LOC,B-ORG
ner,crf,c2003-21,3,Kuwait,B-LOC,B-ORG
ner,crf,c2003-21,5,South,B-LOC,I-ORG
ner,crf,c2003-21,6,Korea,I-LOC,I-ORG
ner,crf,c2003-21,11,Saturday,O,B-MISC
ner,crf,c2003-21,13,Group,O,B-LOC
ner,crf,c2003-21,14,A,O,B-MISC
ner,crf,c2003-23,1,UNION,I-ORG,O
ner,crf,c2003-23,3,CUTTITTA,B-PER,B-ORG
ner,crf,c2003-23,6,ITALY,B-LOC,O
ner,crf,c2003-23,7,AFTER,O,B-ORG
ner,crf,c2003-23,8,A,O,B-MISC
ner,crf,c2003-23,9,YEAR,O,I-MISC
ner,crf,c2003-24,0,ROME,B-LOC,O
ner,crf,c2003-25,0,Italy,B-LOC,B-ORG
ner,crf,c2003-25,2,Marcello,B-PER,B-ORG
ner,crf,c2003-25,3,Cuttitta,I-PER,I-ORG
ner,crf,c2003-26,1,Friday,O,B-MISC
ner,crf,c2003-26,6,Scotland,B-LOC,B-ORG
ner,crf,c2003-26,15,30-year-old,O,B-LOC
ner,crf,c2003-27,12,Saturday,O,B-MISC
ner,crf,c2003-27,19,21-man,O,B-MISC
ner,crf,c2003-27,28,54-21,O,B-MISC
ner,crf,c2003-27,34,month,O,B-MISC
ner,crf,c2003-28,14,Corrado,B-PER,B-ORG
ner,crf,c2003-28,15,Covi,I-PER,I-ORG
ner,crf,c2003-28,23,England,B-LOC,B-ORG
ner,crf,c2003-28,26,five,O,B-MISC
ner,crf,c2003-28,28,out,O,B-MISC
ner,crf,c2003-28,29,of,O,I-MISC
ner,crf,c2003-28,31,national,O,B-MISC
ner,crf,c2003-28,32,team,O,I-MISC
ner,crf,c2003-29,7,World,I-MISC,B-MISC
ner,crf,c2003-29,19,Italy,B-LOC,B-ORG
ner,crf,c2003-30,7,two,O,B-MISC
ner,crf,c2003-34,2,Javier,B-PER,B-LOC
ner,crf,c2003-34,3,Pertile,I-PER,I-LOC
ner,crf,c2003-34,5,Paolo,B-PER,B-LOC
ner,crf,c2003-34,6,Vaccari,I-PER,I-LOC
ner,crf,c2003-34,8,Marcello,B-PER,B-LOC
ner,crf,c2003-34,9,Cuttitta,I-PER,I-LOC
ner,crf,c2003-34,11,Ivan,B-PER,B-LOC
ner,crf,c2003-34,12,Francescato,I-PER,I-LOC
ner,crf,c2003-34,14,Leandro,B-PER,B-LOC
ner,crf,c2003-34,15,Manteri,I-PER,I-LOC
ner,crf,c2003-34,17,Diego,B-PER,B-LOC
ner,crf,c2003-34,18,Dominguez,I-PER,I-LOC
ner,crf,c2003-34,20,Francesco,B-PER,B-LOC
ner,crf,c2003-34,21,Mazzariol,I-PER,I-LOC
ner,crf,c2003-34,23,Alessandro,B-PER,B-LOC
ner,crf,c2003-34,24,Troncon,I-PER,I-LOC
ner,crf,c2003-34,26,Orazio,B-PER,B-LOC
ner,crf,c2003-34,27,Arancio,I-PER,I-LOC
ner,crf,c2003-34,29,Andrea,B-PER,B-LOC
ner,crf,c2003-34,30,Sgorlon,I-PER,I-LOC
ner,crf,c2003-34,32,Massimo,B-PER,B-LOC
ner,crf,c2003-34,33,Giovanelli,I-PER,I-LOC
ner,crf,c2003-34,35,Carlo,B-PER,B-LOC
ner,crf,c2003-34,36,Checchinato,I-PER,I-LOC
ner,crf,c2003-34,38,Walter,B-PER,B-LOC
ner,crf,c2003-34,39,Cristofoletto,I-PER,I-LOC
ner,crf,c2003-34,41,Franco,B-PER,B-LOC
ner,crf,c2003-34,42,Properzi,I-PER,I-LOC
ner,crf,c2003-34,43,Curti,I-PER,I-LOC
ner,crf,c2003-34,45,Carlo,B-PER,B-LOC
ner,crf,c2003-34,46,Orlandi,I-PER,I-LOC
ner,crf,c2003-34,48,Massimo,B-PER,B-LOC
ner,crf,c2003-34,49,Cuttitta,I-PER,I-LOC
ner,crf,c2003-34,51,Giambatista,B-PER,B-LOC
ner,crf,c2003-34,52,Croci,I-PER,I-LOC
ner,crf,c2003-34,54,Gianluca,B-PER,B-LOC
ner,crf,c2003-34,55,Guidi,I-PER,I-LOC
ner,crf,c2003-34,57,Nicola,B-PER,B-LOC
ner,crf,c2003-34,58,Mazzucato,I-PER,I-LOC
ner,crf,c2003-34,60,Alessandro,B-PER,B-LOC
ner,crf,c2003-34,61,Moscardi,I-PER,I-LOC
ner,crf,c2003-34,63,Andrea,B-PER,B-LOC
ner,crf,c2003-34,64,Castellani,I-PER,I-LOC
ner,crf,c2003-35,2,LATE,O,B-ORG
ner,crf,c2003-35,5,JAPAN,B-LOC,B-PER
ner,crf,c2003-35,6,WIN,O,I-PER
ner,crf,c2003-36,0,AL-AIN,B-LOC,B-ORG
ner,crf,c2003-36,2,United,B-LOC,B-ORG
ner,crf,c2003-36,3,Arab,I-LOC,I-ORG
ner,crf,c2003-36,4,Emirates,I-LOC,I-ORG
ner,crf,c2003-37,12,2-1,O,B-MISC
ner,crf,c2003-37,13,Asian,B-MISC,I-MISC
ner,crf,c2003-37,19,Friday,O,B-MISC
ner,crf,c2003-38,12,C,O,B-ORG
ner,crf,c2003-38,16,Salem,B-PER,B-LOC
ner,crf,c2003-38,17,Bitar,I-PER,I-LOC
ner,crf,c2003-39,4,Syrian,B-MISC,B-LOC
ner,crf,c2003-39,8,four,O,B-MISC
ner,crf,c2003-40,0,Defender,O,B-PER
ner,crf,c2003-40,1,Hassan,B-PER,I-PER
ner,crf,c2003-40,27,Bitar,B-PER,B-LOC
ner,crf,c2003-42,9,Ammar,B-PER,B-LOC
ner,crf,c2003-42,10,Awad,I-PER,I-LOC
ner,crf,c2003-42,17,Kenichi,B-PER,B-LOC
ner,crf,c2003-42,18,Shimokawa,I-PER,I-LOC
ner,crf,c2003-43,6,Syrian,B-MISC,B-LOC
ner,crf,c2003-44,2,later,O,B-MISC
ner,crf,c2003-44,4,Bitar,B-PER,B-LOC
ner,crf,c2003-44,13,Kazuyoshi,B-PER,B-LOC
ner,crf,c2003-44,14,Miura,I-PER,I-LOC
ner,crf,c2003-44,21,Takagi,B-PER,B-ORG
ner,crf,c2003-45,0,Bitar,B-PER,B-LOC
ner,crf,c2003-45,5,Miura,B-PER,B-LOC
ner,crf,c2003-46,3,second,O,B-MISC
ner,crf,c2003-46,4,half,O,I-MISC
ner,crf,c2003-46,7,Bitar,B-PER,B-LOC
ner,crf,c2003-46,20,Naoki,B-PER,B-LOC
ner,crf,c2003-46,21,Soma,I-PER,I-LOC
ner,crf,c2003-46,27,53rd,O,B-MISC
ner,crf,c2003-46,28,minute,O,I-MISC
ner,crf,c2003-47,2,19,O,B-MISC
ner,crf,c2003-47,4,Kenichi,B-PER,B-LOC
ner,crf,c2003-47,5,Shimokawa,I-PER,I-LOC
ner,crf,c2003-47,7,2,O,I-MISC
ner,crf,c2003-47,9,Hiroshige,B-PER,B-LOC
ner,crf,c2003-47,10,Yanagimoto,I-PER,I-LOC
ner,crf,c2003-47,12,3,O,I-MISC
ner,crf,c2003-47,14,Naoki,B-PER,B-LOC
ner,crf,c2003-47,15,Soma,I-PER,I-LOC
ner,crf,c2003-47,17,4,O,I-MISC
ner,crf,c2003-47,19,Masami,B-PER,B-LOC
ner,crf,c2003-47,20,Ihara,I-PER,I-LOC
ner,crf,c2003-47,22,5,O,I-MISC
ner,crf,c2003-47,24,Norio,B-PER,B-LOC
ner,crf,c2003-47,25,Omura,I-PER,I-LOC
ner,crf,c2003-47,27,6,O,I-MISC
ner,crf,c2003-47,29,Motohiro,B-PER,B-LOC
ner,crf,c2003-47,30,Yamaguchi,I-PER,I-LOC
ner,crf,c2003-47,32,8,O,I-MISC
ner,crf,c2003-47,34,Masakiyo,B-PER,B-LOC
ner,crf,c2003-47,35,Maezono,I-PER,I-LOC
ner,crf,c2003-47,37,7,O,B-MISC
ner,crf,c2003-47,39,Yasuto,B-PER,B-LOC
ner,crf,c2003-47,40,Honda,I-PER,I-LOC
ner,crf,c2003-47,41,71,O,B-MISC
ner,crf,c2003-47,44,9,O,I-MISC
ner,crf,c2003-47,46,Takuya,B-PER,B-LOC
ner,crf,c2003-47,47,Takagi,I-PER,I-LOC
ner,crf,c2003-47,49,10,O,I-MISC
ner,crf,c2003-47,51,Hiroshi,B-PER,B-LOC
ner,crf,c2003-47,52,Nanami,I-PER,I-LOC
ner,crf,c2003-47,54,11,O,I-MISC
ner,crf,c2003-47,56,Kazuyoshi,B-PER,B-LOC
ner,crf,c2003-47,57,Miura,I-PER,I-LOC
ner,crf,c2003-47,59,15,O,I-MISC
ner,crf,c2003-47,61,Hiroaki,B-PER,B-LOC
ner,crf,c2003-47,62,Morishima,I-PER,I-LOC
ner,crf,c2003-47,64,14,O,B-MISC
ner,crf,c2003-47,66,Masayuki,B-PER,B-LOC
ner,crf,c2003-47,67,Okano,I-PER,I-LOC
ner,crf,c2003-47,68,75,O,B-MISC
ner,crf,c2003-48,2,24,O,B-MISC
ner,crf,c2003-48,4,Salem,B-PER,B-LOC
ner,crf,c2003-48,5,Bitar,I-PER,I-LOC
ner,crf,c2003-48,7,3,O,I-MISC
ner,crf,c2003-48,9,Bachar,B-PER,B-LOC
ner,crf,c2003-48,10,Srour,I-PER,I-LOC
ner,crf,c2003-48,12,4,O,B-MISC
ner,crf,c2003-48,14,Hassan,B-PER,B-LOC
ner,crf,c2003-48,15,Abbas,I-PER,I-LOC
ner,crf,c2003-48,17,5,O,I-MISC
ner,crf,c2003-48,19,Tarek,B-PER,B-LOC
ner,crf,c2003-48,20,Jabban,I-PER,I-LOC
ner,crf,c2003-48,22,6,O,I-MISC
ner,crf,c2003-48,24,Ammar,B-PER,B-LOC
ner,crf,c2003-48,25,Awad,I-PER,I-LOC
ner,crf,c2003-48,27,9,O,B-MISC
ner,crf,c2003-48,29,Louay,B-PER,B-LOC
ner,crf,c2003-48,30,Taleb,I-PER,I-MISC
ner,crf,c2003-48,31,69,O,I-MISC
ner,crf,c2003-48,34,8,O,I-MISC
ner,crf,c2003-48,36,Nihad,B-PER,B-LOC
ner,crf,c2003-48,37,al-Boushi,I-PER,O
ner,crf,c2003-48,39,10,O,I-MISC
ner,crf,c2003-48,41,Mohammed,B-PER,B-LOC
ner,crf,c2003-48,42,Afash,I-PER,I-LOC
ner,crf,c2003-48,44,12,O,I-MISC
ner,crf,c2003-48,46,Ali,B-PER,B-LOC
ner,crf,c2003-48,47,Dib,I-PER,I-LOC
ner,crf,c2003-48,49,13,O,I-MISC
ner,crf,c2003-48,51,Abdul,B-PER,B-LOC
ner,crf,c2003-48,52,Latif,I-PER,O
ner,crf,c2003-48,53,Helou,I-PER,B-MISC
ner,crf,c2003-48,55,17,O,B-MISC
ner,crf,c2003-48,57,Ammar,B-PER,B-LOC
ner,crf,c2003-48,58,Rihawiy,I-PER,I-LOC
ner,crf,c2003-48,59,46,O,B-MISC
ner,crf,c2003-48,62,14,O,I-MISC
ner,crf,c2003-48,64,Khaled,B-PER,B-LOC
ner,crf,c2003-48,65,Zaher,I-PER,B-PER
ner,crf,c2003-48,67,16,O,B-MISC
ner,crf,c2003-48,69,Nader,B-PER,B-LOC
ner,crf,c2003-48,70,Jokhadar,I-PER,I-LOC
ner,crf,c2003-49,0,FREESTYLE,O,B-ORG
ner,crf,c2003-49,1,SKIING-WORLD,B-MISC,O
ner,crf,c2003-49,2,CUP,I-MISC,B-ORG
ner,crf,c2003-49,3,MOGUL,O,B-ORG
ner,crf,c2003-50,0,TIGNES,B-LOC,B-ORG
ner,crf,c2003-50,2,France,B-LOC,B-ORG
ner,crf,c2003-52,5,Friday,O,B-MISC
ner,crf,c2003-54,6,25.76,O,I-MISC
ner,crf,c2003-74,1,Katleen,B-PER,B-ORG
ner,crf,c2003-74,2,Allais,I-PER,I-ORG
ner,crf,c2003-75,2,ASIAN,B-MISC,B-ORG
ner,crf,c2003-75,3,CUP,I-MISC,O
ner,crf,c2003-75,4,GROUP,O,B-ORG
ner,crf,c2003-75,6,RESULTS,O,B-ORG
ner,crf,c2003-76,0,AL-AIN,B-LOC,B-ORG
ner,crf,c2003-76,2,United,B-LOC,B-ORG
ner,crf,c2003-76,3,Arab,I-LOC,I-ORG
ner,crf,c2003-76,4,Emirates,I-LOC,I-ORG
ner,crf,c2003-77,2,Asian,B-MISC,B-LOC
ner,crf,c2003-77,3,Cup,I-MISC,I-LOC
ner,crf,c2003-77,5,C,O,B-LOC
ner,crf,c2003-77,9,Friday,O,B-MISC
ner,crf,c2003-78,1,2,O,B-MISC
ner,crf,c2003-78,2,Syria,B-LOC,I-MISC
ner,crf,c2003-78,3,1,O,I-MISC
ner,crf,c2003-78,6,0-1,O,B-MISC
ner,crf,c2003-80,2,Hassan,B-PER,B-LOC
ner,crf,c2003-80,3,Abbas,I-PER,I-LOC
ner,crf,c2003-80,8,Takuya,B-PER,B-LOC
ner,crf,c2003-80,9,Takagi,I-PER,I-LOC
ner,crf,c2003-80,10,88,O,B-MISC
ner,crf,c2003-81,2,Nader,B-PER,B-LOC
ner,crf,c2003-81,3,Jokhadar,I-PER,I-LOC
ner,crf,c2003-82,2,"10,000",O,B-MISC
ner,crf,c2003-83,1,0,O,B-MISC
ner,crf,c2003-83,2,Uzbekistan,B-LOC,I-MISC
ner,crf,c2003-83,3,2,O,I-MISC
ner,crf,c2003-83,6,0-0,O,B-MISC
ner,crf,c2003-84,4,78,O,B-MISC
ner,crf,c2003-84,6,Shatskikh,B-PER,B-LOC
ner,crf,c2003-84,7,Oleg,I-PER,I-LOC
ner,crf,c2003-88,0,Uzbekistan,B-LOC,B-ORG
ner,crf,c2003-88,1,1,O,I-MISC
ner,crf,c2003-88,2,1,O,I-MISC
ner,crf,c2003-88,3,0,O,I-MISC
ner,crf,c2003-88,4,0,O,I-MISC
ner,crf,c2003-88,5,2,O,I-MISC
ner,crf,c2003-88,6,0,O,I-MISC
ner,crf,c2003-88,7,3,O,I-MISC
ner,crf,c2003-89,1,1,O,I-MISC
ner,crf,c2003-89,2,1,O,I-MISC
ner,crf,c2003-89,3,0,O,I-MISC
ner,crf,c2003-89,4,0,O,I-MISC
ner,crf,c2003-89,5,2,O,I-MISC
ner,crf,c2003-89,6,1,O,I-MISC
ner,crf,c2003-89,7,3,O,I-MISC
ner,crf,c2003-90,1,1,O,I-MISC
ner,crf,c2003-90,2,0,O,I-MISC
ner,crf,c2003-90,3,0,O,I-MISC
ner,crf,c2003-90,4,1,O,I-MISC
ner,crf,c2003-90,5,1,O,I-MISC
ner,crf,c2003-90,6,2,O,I-MISC
ner,crf,c2003-90,7,0,O,I-MISC
ner,crf,c2003-91,1,1,O,I-MISC
ner,crf,c2003-91,2,0,O,I-MISC
ner,crf,c2003-91,3,0,O,I-MISC
ner,crf,c2003-91,4,1,O,I-MISC
ner,crf,c2003-91,5,0,O,I-MISC
ner,crf,c2003-91,6,2,O,I-MISC
ner,crf,c2003-91,7,0,O,I-MISC
ner,crf,c2003-92,0,CRICKET,O,B-ORG
ner,crf,c2003-92,2,PAKISTAN,B-LOC,B-ORG
ner,crf,c2003-92,4,NEW,B-LOC,O
ner,crf,c2003-92,5,ZEALAND,I-LOC,B-ORG
ner,crf,c2003-92,7,SCOREBOARD,O,B-ORG
ner,crf,c2003-93,1,CORRECTED,O,B-ORG
ner,crf,c2003-93,3,GMT,B-MISC,B-ORG
ner,crf,c2003-94,0,SIALKOT,B-LOC,B-ORG
ner,crf,c2003-97,1,Friday,O,B-MISC
ner,crf,c2003-98,0,Pakistan,B-LOC,B-ORG
ner,crf,c2003-99,4,91,O,I-MISC
ner,crf,c2003-99,8,90,O,B-MISC
ner,crf,c2003-100,3,Cairns,B-PER,I-LOC
ner,crf,c2003-100,4,86,O,I-MISC
ner,crf,c2003-100,8,87,O,B-MISC
upos,regras,test-s1,5,marco,NOUN,PROPN
upos,regras,test-s2,3,que,CCONJ,PRON
upos,regras,test-s3,4,retorna,VERB,NOUN
upos,regras,test-s3,5,á,ADP,NOUN
upos,regras,test-s4,0,Comissão,PROPN,NOUN
upos,regras,test-s4,1,técnica,ADJ,NOUN
upos,regras,test-s4,4,desfrutam,VERB,NOUN
upos,regras,test-s5,1,espada,NOUN,PROPN
upos,regras,test-s5,17,periciada,VERB,NOUN
upos,regras,test-s6,1,se,PART,PRON
upos,regras,test-s6,8,deposto,VERB,NOUN
upos,regras,test-s6,23,caindo,VERB,NOUN
upos,regras,test-s6,34,Verde,PROPN,ADJ
upos,regras,test-s6,37,Homem,PROPN,NOUN
upos,regras,test-s7,6,gosto,VERB,NOUN
upos,regras,test-s7,12,empolgado,ADJ,NOUN
upos,regras,test-s7,19,tenho,AUX,VERB
upos,regras,test-s7,20,que,CCONJ,PRON
upos,regras,test-s8,1,http://m.goal.com,X,NOUN
upos,regras,test-s11,0,Foi,VERB,AUX
upos,regras,test-s11,4,que,CCONJ,PRON
upos,regras,test-s11,25,o,PRON,DET
upos,regras,test-s11,31,dezembro,PROPN,NOUN
upos,regras,test-s12a,0,Face,NOUN,ADV
upos,regras,test-s12a,1,a,ADP,DET
upos,regras,test-s12a,3,reiterada,ADJ,NOUN
upos,regras,test-s12a,6,a,ADP,DET
upos,regras,test-s12a,8,paulatina,ADJ,NOUN
upos,regras,test-s12a,17,Ponta,PROPN,NOUN
upos,regras,test-s12a,23,queixa,PROPN,NOUN
upos,regras,test-s12a,24,a,ADP,DET
upos,regras,test-s12a,35,a,ADP,DET
upos,regras,test-s12b,5,a,ADP,DET
upos,regras,test-s12b,6,que,CCONJ,PRON
upos,regras,test-s12b,8,tivesse,AUX,VERB
upos,regras,test-s12b,10,a,ADP,DET
upos,regras,test-s12b,13,falecendo,VERB,NOUN
upos,regras,test-s12b,18,São,PROPN,AUX
upos,regras,test-s12b,20,a,ADP,DET
upos,regras,test-s12b,23,Junho,PROPN,NOUN
upos,regras,test-s12b,28,sepultado,ADJ,NOUN
upos,regras,test-s12b,34,Ponta,PROPN,NOUN
upos,regras,test-s13,0,Trabalhava,VERB,PROPN
upos,regras,test-s13,4,administrativo,ADJ,PROPN
upos,regras,test-s13,8,morta,VERB,ADJ
upos,regras,test-s14,1,Sanepar,PROPN,VERB
upos,regras,test-s14,18,neste,ADP,NOUN
upos,regras,test-s14,19,sábado,PROPN,NOUN
upos,regras,test-s14,24,podendo,AUX,VERB
upos,regras,test-s15,1,alegam,VERB,NOUN
upos,regras,test-s15,2,que,CCONJ,PRON
upos,regras,test-s15,12,bairro,NOUN,PROPN
upos,regras,test-s15,22,como,CCONJ,ADP
upos,regras,test-s16,5,ex,PART,ADP
upos,regras,test-s16,9,direita,ADJ,NOUN
upos,regras,test-s16,14,General,PROPN,NOUN
upos,regras,test-s16,17,a,ADP,DET
upos,regras,test-s17,14,Fórum,PROPN,NOUN
upos,regras,test-s17,16,Presidentes,PROPN,NOUN
upos,regras,test-s17,19,Cooperativas,PROPN,NOUN
upos,regras,test-s18,0,Quando,CCONJ,ADV
upos,regras,test-s18,2,foi,VERB,AUX
upos,regras,test-s18,3,a,ADP,DET
upos,regras,test-s18,7,cobrá,VERB,NOUN
upos,regras,test-s18,9,los,PRON,PROPN
upos,regras,test-s18,21,envolveu,VERB,NOUN
upos,regras,test-s19,0,@,X,SYM
upos,regras,test-s19,1,durvalorlato,X,NOUN
upos,regras,test-s19,4,que,CCONJ,PRON
upos,regras,test-s19,7,pode,AUX,VERB
upos,regras,test-s19,11,1,ADJ,NUM
upos,regras,test-s19,12,º,PUNCT,NOUN
upos,regras,test-s19,20,diretos,ADJ,NOUN
upos,regras,test-s19,30,vem,AUX,VERB
upos,regras,test-s20,7,Estado,PROPN,NOUN
upos,regras,test-s20,12,Janeiro,PROPN,NOUN
upos,regras,test-s20,17,11,ADJ,NUM
upos,regras,test-s20,18,ª,PUNCT,NOUN
upos,regras,test-s20,19,Câmara,PROPN,NOUN
upos,regras,test-s20,20,Cível,PROPN,ADJ
upos,regras,test-s20,23,Tribunal,PROPN,NOUN
upos,regras,test-s20,25,Justiça,PROPN,NOUN
upos,regras,test-s20,28,Estado,PROPN,NOUN
upos,regras,test-s20,33,Janeiro,PROPN,NOUN
upos,regras,test-s20,41,julgando,VERB,NOUN
upos,regras,test-s20,42,mandado,NOUN,VERB
upos,regras,test-s20,45,impetrado,VERB,NOUN
upos,regras,test-s20,53,a,ADP,DET
upos,regras,test-s21,3,promulgada,VERB,NOUN
upos,regras,test-s21,12,Tribunal,PROPN,NOUN
upos,regras,test-s21,14,Justiça,PROPN,NOUN
upos,regras,test-s21,18,Grande,PROPN,ADJ
upos,regras,test-s21,30,quarta,PROPN,ADJ
upos,regras,test-s22,0,Acesse,VERB,PROPN
upos,regras,test-s22,4,encontre,VERB,NOUN
upos,regras,test-s23,0,Tenho,AUX,VERB
upos,regras,test-s23,1,estado,VERB,NOUN
upos,regras,test-s23,6,a,ADP,DET
upos,regras,test-s23,8,espera,NOUN,VERB
upos,regras,test-s24,0,Terra,PROPN,NOUN
upos,regras,test-s24,7,lógica,ADJ,NOUN
upos,regras,test-s25,4,Sérvia,PROPN,ADJ
upos,regras,test-s25,6,uma,PRON,DET
upos,regras,test-s25,12,européias,ADJ,NOUN
upos,regras,test-s25,15,conquistada,VERB,NOUN
upos,regras,test-s25,17,destruída,VERB,NOUN
upos,regras,test-s25,22,a,ADP,DET
upos,regras,test-s25,27,tumultuado,ADJ,NOUN
upos,regras,test-s25,28,passado,NOUN,ADJ
upos,regras,test-s26,0,Campo,PROPN,NOUN
upos,regras,test-s26,1,Grande,PROPN,ADJ
upos,regras,test-s26,19,políticas,NOUN,ADJ
upos,regras,test-s26,20,voltadas,VERB,NOUN
upos,regras,test-s26,21,a,ADP,DET
upos,regras,test-s26,29,Estado,PROPN,NOUN
upos,regras,test-s26,33,Conferência,PROPN,NOUN
upos,regras,test-s26,36,Desenvolvimento,PROPN,NOUN
upos,regras,test-s26,37,Regional,PROPN,ADJ
upos,regras,test-s26,53,público,ADJ,PROPN
upos,regras,test-s27,10,to,ADP,PROPN
upos,regras,test-s28,4,Sra,NOUN,PROPN
upos,regras,test-s28,10,Sra,NOUN,PROPN
upos,regras,test-s29,14,poderá,AUX,VERB
upos,regras,test-s29,15,ser,VERB,AUX
upos,regras,test-s30,2,Câmara,PROPN,NOUN
upos,regras,test-s30,4,Dirigentes,PROPN,NOUN
upos,regras,test-s30,5,Lojistas,PROPN,NOUN
upos,regras,test-s30,10,dezembro,PROPN,NOUN
upos,regras,test-s31,5,desafiador,ADJ,NOUN
upos,regras,test-s32,16,mais,DET,ADV
upos,regras,test-s32,24,ressaltou,VERB,NOUN
upos,regras,test-s33,19,deverá,AUX,VERB
upos,regras,test-s34,4,práticas,ADJ,NOUN
upos,regras,test-s34,8,a,ADP,DET
upos,regras,test-s34,19,terça,PROPN,NOUN
upos,regras,test-s35,9,Dínamo,PROPN,NOUN
upos,regras,test-s35,20,a,SCONJ,DET
upos,regras,test-s36,5,São,PROPN,AUX
upos,regras,test-s36,11,está,VERB,AUX
upos,regras,test-s37,5,designer,NOUN,VERB
upos,regras,test-s37,9,Designer,PROPN,VERB
upos,regras,test-s37,10,Residente,PROPN,ADJ
upos,regras,test-s37,16,Design,PROPN,NOUN
upos,regras,test-s38,8,Cruzeiro,PROPN,NOUN
upos,regras,test-s39,3,movimento,VERB,NOUN
upos,regras,test-s40,6,Prefeitura,PROPN,NOUN
upos,regras,test-s40,10,contará,VERB,NOUN
upos,regras,test-s40,17,médico,ADJ,NOUN
upos,regras,test-s40,27,a,ADP,DET
upos,regras,test-s40,33,a,ADP,DET
upos,regras,test-s40,38,químicos,ADJ,NOUN
upos,regras,test-s40,46,a,ADP,DET
upos,regras,test-s41,5,explodiram,VERB,NOUN
upos,regras,test-s41,13,a,ADP,DET
upos,regras,test-s41,15,norte,NOUN,PROPN
upos,regras,test-s41,23,matando,VERB,NOUN
upos,regras,test-s42,4,a,ADP,DET
upos,regras,test-s42,9,Mestre,PROPN,NOUN
upos,regras,test-s42,12,posto,VERB,NOUN
upos,regras,test-s43,10,alfabética,ADJ,NOUN
upos,regras,test-s43,20,a,ADP,DET
upos,regras,test-s43,24,A,PROPN,DET
upos,regras,test-s43,25,a,ADP,DET
upos,regras,test-s43,32,quando,ADP,ADV
upos,regras,test-s44,3,quando,CCONJ,ADV
upos,regras,test-s44,6,atuava,VERB,NOUN
upos,regras,test-s44,23,concedem,VERB,NOUN
upos,regras,test-s44,31,rapta,VERB,NOUN
upos,regras,test-s44,34,a,PRON,DET
upos,regras,test-s44,36,a,ADP,DET
upos,regras,test-s45,7,a,SCONJ,DET
upos,regras,test-s46,3,que,CCONJ,PRON
upos,regras,test-s46,8,podem,AUX,VERB
upos,regras,test-s46,9,ter,VERB,AUX
upos,regras,test-s46,11,dimensionais,ADJ,NOUN
upos,regras,test-s46,23,determinado,DET,VERB
upos,regras,test-s47,6,S,PROPN,NOUN
upos,regras,test-s47,7,III,NUM,ADJ
upos,regras,test-s47,8,4G,NUM,NOUN
upos,regras,test-s47,11,sugerido,ADJ,VERB
